2011 297 17 2432 51 52  53  32   6.3   4.5 -11.8 328.5   3.7  -2.3  -0.9  -2.5  -0.1   0.7   4.4   1.3   3.8   1.8   86199.   9.1  335.   1.4  -0.1 0.063   10467.   0.7    6.   1.6   0.8 0.013  2.14   0.03   2.05   8.0  4.8 0.0185 10 130     1   4 143.8   36   -16    20   1.0 0.007918 999999.99 99999.99 99999.99     1.61     0.14     0.07 -1
2011 297 18 2432 51 52  91  52   9.1   6.7 -22.3 309.5   4.0  -4.8  -2.6  -5.3  -1.2   4.2   7.2   1.5   5.5   4.5  142435.  14.0  377.   0.5  -2.1 0.067  117936.   7.1   66.   1.2   1.8 0.020  4.21   0.45   1.90   7.8  4.8 0.0198 53 130    20  56 143.8  157   -88    68   1.8 0.007918 999999.99 99999.99 99999.99     2.24     0.13     0.06 -1
2011 297 19 2432 51 52  59  35  18.2  13.8 -21.1 289.9   4.4 -12.1  -4.9 -12.9  -1.9   1.2  11.4   2.5   6.8   8.9  446721.  25.2  495.   0.9  -5.0 0.088   65863.   3.1    7.   1.8   2.0 0.021 13.94   0.94   1.82   6.8  4.3 0.0255 53 130    18  56 143.8  847  -619   228   5.1 0.007918 999999.99 99999.99 99999.99     1.74     0.14     0.07 -1
2011 297 20 2432 51 52  59  34  17.2  14.1   0.2 284.7   3.6 -13.7   0.0 -13.4   2.8   1.3   9.5   3.3   3.4   8.3  453597.  22.9  495.  -2.1  -3.2 0.074   81224.   2.1   10.   1.8   2.4 0.014 12.14  -1.39   1.87   6.9  4.3 0.0251 53 130     7  56 143.8  571  -339   232   0.7 0.007918 999999.99 99999.99 99999.99     1.57     0.11     0.06 -1
2011 297 21 2432 51 52  62  35  17.6   8.8  25.1 276.6   0.9  -7.9   3.7  -7.1   5.1   4.1  15.5   5.6   8.4  11.7  425970.  25.9  503.   1.9  -3.6 0.066  135115.   4.6   11.   3.8   2.8 0.017 13.83  -2.57   1.93   7.3  4.5 0.0225 70 130     7 132 143.8  438  -208   230   1.9 0.007918 999999.99 99999.99 99999.99     1.42     0.11     0.06 -1
2011 297 22 2432 51 52  60  33  12.9  11.2 -46.8 335.6   7.0  -3.2  -8.2  -4.6  -7.5   2.8   6.7   2.8   3.9   4.7  377400.  27.9  508.   5.9  -8.0 0.068   38173.   2.1    5.   0.4   0.5 0.011 15.29   3.81   3.53  10.4  5.2 0.0110 70 130   -22 132 143.8  537  -362   175   4.4 0.007918 999999.99 99999.99 99999.99     1.06     0.10     0.06 -1
2011 297 23 2432 51 52  60  37  17.8  16.3 -45.2  54.0   6.8   9.3 -11.6   7.0 -13.1   0.5   6.9   1.6   5.7   3.4  212018.  25.0  506.   6.1  -5.4 0.052   35894.   0.8    5.   0.9   1.5 0.004 12.91   6.63   1.12   7.1  5.1 0.0236 70 130   -79 132 143.8  867  -706   161  11.2 0.007918 999999.99 99999.99 99999.99     1.16     0.08     0.05 -1
2011 298  0 2432 51 52  60  35  18.6  17.9 -36.6  54.5   8.4  11.7 -10.7   9.4 -12.8   0.7   4.8   1.6   3.5   2.9  132820.  23.4  504.   2.9  -5.1 0.050   14850.   1.8    4.   1.5   1.1 0.004 11.91   6.45   0.73   6.6  5.1 0.0277 73 110  -121 154 137.3 1042  -716   326  10.0 0.007889 999999.99 99999.99 99999.99     1.14     0.07     0.05 -1
2011 298  1 2432 51 52  61  37  21.3  14.9 -20.1  76.8   3.2  13.6  -5.1  12.1  -8.0   1.8  14.9   4.3   9.2  11.0   92554.  10.8  514.   1.9  -0.3 0.043   41653.   6.0   12.   2.1   3.0 0.011  5.58   4.11   0.22   4.0  3.6 0.0756 73 110  -147 154 137.3  483  -316   167   5.9 0.007889 999999.99 99999.99 99999.99     1.13     0.08     0.04 -1
2011 298  2 2432 51 52  57  35  21.6  21.4  12.9  79.2   3.9  20.5   4.8  21.0  -0.6   0.5   2.9   1.5   0.6   2.4   93436.  11.2  503.  -1.4   0.1 0.037    9669.   3.0    5.   1.1   1.5 0.007  5.43   0.30   0.22   3.9  3.6 0.0783 73 110  -126 154 137.3  470  -211   258   4.9 0.007889 999999.99 99999.99 99999.99     0.73     0.07     0.05 -1
2011 298  3 2432 51 52  59  37  21.3  21.1  14.9  76.1   4.9  19.8   5.4  20.5  -0.8   0.5   2.5   2.1   0.8   1.0   92279.  11.4  493.  -2.2   0.2 0.033   11296.   2.0   11.   0.7   0.7 0.005  5.24   0.39   0.23   3.9  3.6 0.0779 57 110  -127  67 137.3  613  -428   185   5.7 0.007889 999999.99 99999.99 99999.99     0.63     0.07     0.04 -1
2011 298  4 2432 51 52  56  33  21.7  21.2  12.2 103.4  -4.8  20.1   4.5  20.4  -2.7   0.3   4.5   4.0   0.8   1.9  107594.   9.1  457.  -0.4   1.7 0.042   20313.   1.1   20.   0.7   1.6 0.007  3.71   1.23   0.19   3.2  2.9 0.1179 57 110  -131  67 137.3  690  -563   127   7.5 0.007889 999999.99 99999.99 99999.99     0.55     0.07     0.05 -1
2011 298  5 2432 51 52  65  40  22.2  22.0  21.7 102.7  -4.5  20.0   8.1  21.6  -0.3   0.3   3.0   2.6   0.3   1.5  100733.   9.0  457.   0.9   0.3 0.041   16565.   1.6   13.   0.5   1.4 0.007  3.65   0.14   0.17   3.1  2.9 0.1247 57 110  -134  67 137.3  623  -438   185   5.4 0.007889 999999.99 99999.99 99999.99     0.54     0.07     0.04 -1
2011 298  6 2432 51 52  60  35  22.8  22.7  28.3  82.0   2.8  19.8  10.7  22.5   1.2   0.3   1.6   1.3   0.6   0.8   69101.   4.8  487.   1.4  -0.8 0.032   15656.   0.9    6.   1.0   0.8 0.003  2.14  -0.58   0.08   2.3  2.3 0.2173 47 110  -131  39 137.3  683  -490   192   5.8 0.007889 999999.99 99999.99 99999.99     0.38     0.06     0.05 -1
2011 298  7 2432 51 52  56  33  22.6  22.4  33.5  81.0   2.9  18.5  12.4  22.1   2.4   0.2   2.7   2.1   1.0   1.5   93537.   5.1  500.   1.2  -3.1 0.031   22409.   0.7   25.   1.1   2.2 0.003  2.39  -1.20   0.09   2.5  2.4 0.1906 47 110  -117  39 137.3  552  -376   177   4.4 0.007889 999999.99 99999.99 99999.99     0.44     0.07     0.04 -1
2011 298  8 2432 51 52  60  37  22.5  22.2  45.2  94.3  -1.2  15.6  15.8  21.3   6.2   0.3   3.0   1.5   2.0   1.6   92930.   6.1  449.   3.4  -5.0 0.031   27195.   1.0    7.   2.0   1.6 0.003  2.31  -2.78   0.11   2.5  2.4 0.1959 47 110  -101  39 137.3  525  -437    89   4.6 0.007889 999999.99 99999.99 99999.99     0.45     0.07     0.04 -1
2011 298  9 2432 51 52  60  36  23.2  22.9  52.3  90.1   0.0  14.0  18.1  21.2   8.6   0.4   3.5   1.8   2.4   1.8  112419.   4.0  467.   7.0  -5.7 0.051   39262.   1.1   20.   3.4   2.1 0.020  1.75  -4.02   0.07   2.0  2.0 0.2935 30 110   -86  15 137.3  272  -263    10   3.8 0.007889 999999.99 99999.99 99999.99     0.53     0.07     0.05 -1
2011 298 10 2432 51 52  63  37  24.0  23.5  49.1  90.0   0.0  15.3  17.7  22.1   7.5   0.4   4.7   1.6   3.7   2.6   98851.   2.1  451.   8.9  -4.7 0.041   46838.   0.9   12.   1.9   1.4 0.013  0.83  -3.38   0.03   1.4  1.3 0.6416 30 110   -79  15 137.3  219  -198    21   2.5 0.007889 999999.99 99999.99 99999.99     0.54     0.06     0.04 -1
2011 298 11 2432 51 52  58  34  23.3  22.2  79.1 118.9  -2.0   3.7  21.8  14.1  17.0   0.4   6.9   3.0   6.2   1.2   62088.   4.7  464.   5.1   1.2 0.070   30407.   0.8   11.   3.0   1.9 0.019  2.16  -7.89   0.07   2.2  2.1 0.2553 30 110   -68  15 137.3  280  -268    12   1.1 0.007889 999999.99 99999.99 99999.99     0.43     0.06     0.05 -1
2011 298 12 2432 51 52  58  34  22.5  22.5  70.4 228.3  -5.0  -5.6  21.2   5.4  21.3   0.7   1.6   1.3   0.6   0.6   31306.   5.9  456.   9.0   4.1 0.070    3693.   0.6    5.   0.6   0.5 0.010  2.62  -9.71   0.08   2.5  2.4 0.1963 30 110   -62  15 137.3  180  -174     6   0.1 0.007889 999999.99 99999.99 99999.99     0.34     0.07     0.05 -1
